obs_index,cooks_distance,flagged
0,0.004825892734492927,False
1,0.0031275055981662848,False
2,0.0044917433702330225,False
3,0.002664192306431941,False
4,0.005678995956401909,False
5,0.0020475564287177382,False
6,0.008256837882281754,False
7,0.004941377747254853,False
8,0.007079630971762009,False
9,0.00923662000629095,False
10,0.011874214623029834,False
11,0.01169182598936342,False
12,0.004608114654076068,False
13,0.008511563770720461,False
14,0.005374848600006666,False
15,0.005984702295242962,False
16,0.0030735272277444044,False
17,0.008479053335168199,False
18,0.0018163623513039492,False
19,0.0073536000700737,False
20,0.003421539468014325,False
21,0.003651438320371045,False
22,0.0034255805764455407,False
23,0.006629444411921674,False
24,0.00472732759464613,False
25,0.007366768575890752,False
26,0.0039655507583840665,False
27,0.013507375636017688,False
28,0.004990313109361896,False
29,0.007622893412746963,False
30,0.006324575797238273,False
31,0.005948756306106811,False
32,0.00616936394233497,False
33,0.005383155796072397,False
34,0.002491462748569843,False
35,0.006610305309271535,False
36,0.008480567740697307,False
37,0.005418324476267313,False
38,0.0016151501043005212,False
39,0.003863673842841144,False
40,0.004285331903040966,False
41,0.01038566917894886,False
42,0.0034777072202018507,False
43,0.009521403999841542,False
44,0.0046242260513224736,False
45,0.0024239281308133767,False
46,0.0059885502917280614,False
47,0.01048768731364134,False
48,0.008998146335794847,False
49,0.007131468300425738,False
50,0.005382078886901319,False
51,0.004893777207956803,False
52,0.004562951253345518,False
53,0.012741827515297165,False
54,0.004280519321196483,False
55,0.004488540461449976,False
56,0.005412809038951051,False
57,0.006536748683095974,False
58,0.0020545026924906973,False
59,0.005703581037796613,False
60,0.006602791481242993,False
61,0.0027615740004575634,False
62,0.003728934625056642,False
63,0.004868584398007131,False
64,0.0044720378533658735,False
65,0.008181966778514732,False
66,0.006279260213275739,False
67,0.005052327547599072,False
68,0.006490674675216713,False
69,0.0030663881196775233,False
70,0.009428648330689357,False
71,0.009327206175929912,False
72,0.0053711239696389865,False
73,0.002202672969530047,False
74,0.005452886841385555,False
75,0.005308945814498,False
76,0.004616024059379254,False
77,0.012039989805088521,False
78,0.01167106438066778,False
79,0.001943264705795289,False
80,0.0013590339895460683,False
81,0.004276103531371774,False
82,0.004501718059707202,False
83,0.005863497186420041,False
84,0.010135715822657938,False
85,0.004855050393331301,False
86,0.0017765411910037577,False
87,0.006183021776127202,False
88,0.0023112102003567947,False
89,0.001763731065320478,False
90,0.0031406919099425303,False
91,0.004979390379666127,False
92,0.004022962618302759,False
93,0.001987977976286713,False
94,0.007255537624359079,False
95,0.004140017181301109,False
96,0.004443383926720622,False
97,0.0030877011068512067,False
98,0.0035245731318807065,False
99,0.008393574987037274,False
100,0.008500259899535616,False
101,0.0039032754878471822,False
102,0.006835954255529431,False
103,0.010853111480496915,False
104,0.013926930385317095,False
105,0.0038618848816070355,False
106,0.0046962921257839565,False
107,0.0032688200892282433,False
108,0.004675326290943483,False
109,0.006272415839399364,False
110,0.014264013548176949,False
111,0.00299130750284101,False
112,0.002760270858552852,False
113,0.006388401007931045,False
114,0.006805252230669994,False
115,0.006282042116945408,False
116,0.008754924635130404,False
117,0.0037720540492050506,False
118,0.009136006531588338,False
119,0.0073962661306367465,False
120,0.007057633208797108,False
121,0.0056140800905725525,False
122,0.004831503947706066,False
123,0.00482007633724236,False
124,0.003369431727900855,False
125,0.002490659984179477,False
126,0.0030542821284097288,False
127,0.004398421285640363,False
128,0.007567396533911954,False
129,0.005214141895512161,False
130,0.005752393202757277,False
131,0.007061971845286226,False
132,0.011184996059068824,False
133,0.0014174675846894988,False
134,0.001518475579507244,False
135,0.007546520049125937,False
136,0.005778686636241793,False
137,0.004554704012328997,False
138,0.0026776019147039076,False
139,0.013185715975339284,False
140,0.00606837666569319,False
141,0.0029594071612998596,False
142,0.004383740754954588,False
143,0.00499148869136994,False
144,0.004499162770435213,False
145,0.002723587666933509,False
146,0.0034897625796600747,False
147,0.013019280719885784,False
148,0.003915408451353381,False
149,0.008055855733022577,False
150,0.004653329501919443,False
151,0.005003396433561401,False
152,0.004363044124799285,False
153,0.00463436504604823,False
154,0.0044859755759643774,False
155,0.008222324050205045,False
156,0.006175487403146071,False
157,0.006879608665681634,False
158,0.01092038894449872,False
159,0.00458587638760141,False
160,0.0077364527588867915,False
161,0.0062531224686606605,False
162,0.007566044451861888,False
163,0.005335941273507194,False
164,0.0025507327327473355,False
165,0.003490418566012703,False
166,0.009085671673300487,False
167,0.004038483996655536,False
168,0.0048620931979592615,False
169,0.004613038184426485,False
170,0.004278534151597491,False
171,0.0026835711464191234,False
172,0.00711824892511076,False
173,0.0052233666284269824,False
174,0.009133248673207344,False
175,0.003583866884415028,False
176,0.008853283840108628,False
177,0.003662226298649457,False
178,0.0062972212725048195,False
179,0.00600744326125877,False
180,0.011696327423311191,False
181,0.003680223149657859,False
182,0.0065432320765416874,False
183,0.006521049024534905,False
184,0.004423906290195737,False
185,0.010629363013162994,False
186,0.006774208129685181,False
187,0.008696005533172015,False
188,0.007114207761085749,False
189,0.004608349069414601,False
190,0.004713340557762206,False
191,0.0030610433486446117,False
192,0.004490480580391553,False
193,0.00537044506376041,False
194,0.006939035357234979,False
195,0.00711986960043633,False
196,0.0038991159828932315,False
197,0.001568664432560887,False
198,0.003149920020876745,False
199,0.009101510322634353,False
