lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
js_q1,~,jobsat,1.0,0.3027541775798803,-,-,-
js_q2,~,jobsat,-1.1154113043469192,-0.3376615497007492,0.4830515046133018,-2.3090939448320995,0.02093836870188559
js_q3,~,jobsat,0.2714283184214154,0.08217524672155128,0.31191514017305144,0.8701992415948645,0.38419153033210485
js_q4,~,jobsat,-0.5649799334249883,-0.1710516869020185,0.35225883397221824,-1.6038772599467102,0.10874111019892019
js_q5,~,jobsat,-0.4294255506414719,-0.13001030015844217,0.3306335427755195,-1.2987960841339306,0.19401391887288844
bo_q1,~,burnout,1.0,0.0820699648591466,-,-,-
bo_q2,~,burnout,-1.1312343886552074,-0.09284019332089273,1.1859906249139562,-0.9538308017707346,0.3401692952162858
bo_q3,~,burnout,0.7649675194918957,0.06278203171923036,0.9901083718709559,0.7726098892039506,0.43975329010208997
bo_q4,~,burnout,-0.502405699312394,-0.04123324130229406,0.8809609703422923,-0.5702928009587268,0.568479122818643
bo_q5,~,burnout,-3.0292694997670413,-0.2485970515310036,2.5015351889119466,-1.2109641763957852,0.22590913461214956
burnout,~~,burnout,0.006735580388016747,1.0,0.014313834667196938,0.47056435568465343,0.6379518667701944
burnout,~~,jobsat,0.0470656503868249,1.8941758266030144,0.03912943231903495,1.202819657639819,0.2290461160603776
jobsat,~~,jobsat,0.09166267464282289,1.0,0.061013563923775625,1.5023327395828727,0.1330111973969319
bo_q1,~~,bo_q1,0.9932794528461759,0.9932645208680186,0.08180916638251855,12.141420048087474,0.0
bo_q2,~~,bo_q2,0.9913993012788799,0.9913806985041391,0.08205804705625672,12.081682867581803,0.0
bo_q3,~~,bo_q3,0.9960361296753395,0.9960584164932057,0.08160209287421889,12.206012059009554,0.0
bo_q4,~~,bo_q4,0.9982749655111423,0.9982998198117067,0.08158021698311406,12.23672849148629,0.0
bo_q5,~~,bo_q5,0.9383267580513309,0.9381995059700917,0.11983258981307397,7.830313602561623,4.884981308350689e-15
js_q1,~~,js_q1,0.9083655012044365,0.9083399079579301,0.08976256318645968,10.1196475339882,0.0
js_q2,~~,js_q2,0.8861874621692213,0.8859846778536885,0.09434486347917831,9.393065287072123,0.0
js_q3,~~,js_q3,0.9932948102587085,0.9932472288262525,0.08192193775280464,12.12489398436596,0.0
js_q4,~~,js_q4,0.970749922955374,0.970741320407974,0.08308595552796993,11.683682480090132,0.0
js_q5,~~,js_q5,0.9831262201323956,0.9830973218527119,0.08239115380237638,11.93242447458124,0.0
